Device : ;PAX1000VIS/M
Serial Number : ;M00496686
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;635
Basic Sample Rate [Hz] : ;50
Operating Mode : ;2 revolutions for one measurement, 2048 points for FFT

Time[date hh:mm:ss]; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-30 10:14:34.95;0.00:07:54:989;0.08;-0.27;0.96;0.1234;0.01003;-0.03274;0.1141;-36.48;36.65;96.53;92.45;27.75;0.1234;0.1191;0.004282;-9.088;-9.242;-23.683;0.54;106.02;
2023-05-30 10:14:35.03;0.00:07:55:069;0.08;-0.27;0.96;0.1235;0.009978;-0.03278;0.1142;-36.53;36.65;96.51;92.44;27.73;0.1235;0.1192;0.00431;-9.082;-9.236;-23.656;0.54;106.01;
2023-05-30 10:14:35.11;0.00:07:55:148;0.08;-0.27;0.96;0.1238;0.009667;-0.03263;0.1148;-36.75;36.74;96.70;92.71;27.49;0.1238;0.1197;0.004091;-9.073;-9.219;-23.882;0.54;105.87;
2023-05-30 10:14:35.19;0.00:07:55:225;0.08;-0.27;0.96;0.1236;0.009535;-0.03254;0.1155;-36.83;36.82;97.39;93.45;27.43;0.1236;0.1204;0.003224;-9.079;-9.193;-24.917;0.54;105.73;
2023-05-30 10:14:35.27;0.00:07:55:302;0.08;-0.27;0.96;0.1237;0.009554;-0.03257;0.1155;-36.83;36.81;97.35;93.40;27.45;0.1237;0.1204;0.003274;-9.078;-9.194;-24.849;0.54;105.75;
2023-05-30 10:14:35.34;0.00:07:55:379;0.08;-0.27;0.96;0.1237;0.009577;-0.03259;0.1155;-36.81;36.80;97.33;93.37;27.47;0.1237;0.1203;0.003304;-9.078;-9.196;-24.810;0.54;105.76;
2023-05-30 10:14:35.42;0.00:07:55:457;0.08;-0.27;0.96;0.1237;0.009572;-0.03257;0.1154;-36.81;36.81;97.30;93.35;27.46;0.1237;0.1203;0.003339;-9.078;-9.197;-24.764;0.54;105.76;
2023-05-30 10:14:35.50;0.00:07:55:535;0.08;-0.27;0.96;0.1237;0.009553;-0.03257;0.1155;-36.83;36.81;97.32;93.37;27.44;0.1237;0.1203;0.003318;-9.077;-9.196;-24.791;0.54;105.75;
2023-05-30 10:14:35.59;0.00:07:55:626;0.08;-0.27;0.96;0.1237;0.009578;-0.03259;0.1154;-36.81;36.80;97.32;93.36;27.47;0.1237;0.1203;0.00331;-9.078;-9.196;-24.801;0.54;105.77;
2023-05-30 10:14:35.67;0.00:07:55:704;0.08;-0.27;0.96;0.1236;0.009618;-0.0326;0.1154;-36.78;36.79;97.29;93.33;27.49;0.1236;0.1203;0.003346;-9.079;-9.198;-24.755;0.54;105.78;
