Device : ;PAX1000VIS/M
Serial Number : ;M00496686
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;635
Basic Sample Rate [Hz] : ;50
Operating Mode : ;2 revolutions for one measurement, 2048 points for FFT

Time[date hh:mm:ss]; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-30 10:16:26.95;0.00:09:46:983;-0.11;0.37;0.92;0.1243;-0.01321;0.04522;0.1132;53.14;33.70;98.67;91.09;37.91;0.1243;0.1226;0.001657;-9.057;-9.115;-27.807;0.45;68.22;
2023-05-30 10:16:27.03;0.00:09:47:061;-0.11;0.37;0.92;0.1243;-0.01323;0.0452;0.1132;53.16;33.70;98.66;91.08;37.90;0.1243;0.1226;0.001671;-9.056;-9.115;-27.771;0.45;68.23;
2023-05-30 10:16:27.11;0.00:09:47:141;-0.11;0.37;0.92;0.1242;-0.0132;0.04522;0.1132;53.14;33.70;98.67;91.10;37.92;0.1242;0.1226;0.00165;-9.057;-9.115;-27.824;0.45;68.22;
2023-05-30 10:16:27.19;0.00:09:47:221;-0.11;0.37;0.92;0.1242;-0.0132;0.0452;0.1132;53.14;33.70;98.66;91.08;37.91;0.1242;0.1226;0.00167;-9.058;-9.116;-27.772;0.45;68.22;
2023-05-30 10:16:27.28;0.00:09:47:311;-0.11;0.37;0.92;0.1242;-0.01321;0.04521;0.1131;53.14;33.70;98.65;91.07;37.91;0.1242;0.1226;0.00168;-9.058;-9.117;-27.746;0.45;68.22;
2023-05-30 10:16:27.35;0.00:09:47:389;-0.11;0.37;0.92;0.1242;-0.01321;0.04521;0.1131;53.14;33.70;98.65;91.07;37.91;0.1242;0.1225;0.001678;-9.058;-9.117;-27.753;0.45;68.22;
2023-05-30 10:16:27.43;0.00:09:47:467;-0.11;0.37;0.92;0.1242;-0.01322;0.04521;0.1131;53.15;33.70;98.64;91.06;37.92;0.1242;0.1225;0.001687;-9.058;-9.118;-27.728;0.45;68.22;
2023-05-30 10:16:27.51;0.00:09:47:544;-0.11;0.37;0.92;0.1242;-0.01321;0.04523;0.1131;53.14;33.69;98.65;91.06;37.93;0.1242;0.1225;0.001681;-9.059;-9.118;-27.744;0.45;68.21;
2023-05-30 10:16:27.59;0.00:09:47:622;-0.11;0.37;0.92;0.1242;-0.01323;0.0452;0.1131;53.16;33.70;98.62;91.04;37.92;0.1242;0.1225;0.001708;-9.058;-9.119;-27.675;0.45;68.21;
2023-05-30 10:16:27.68;0.00:09:47:716;-0.11;0.37;0.92;0.1242;-0.01323;0.04519;0.1131;53.16;33.70;98.62;91.04;37.91;0.1242;0.1225;0.001719;-9.059;-9.120;-27.647;0.45;68.22;
2023-05-30 10:16:27.76;0.00:09:47:793;-0.11;0.37;0.92;0.1242;-0.01321;0.0452;0.113;53.14;33.69;98.63;91.04;37.92;0.1242;0.1225;0.001705;-9.060;-9.120;-27.682;0.45;68.21;
2023-05-30 10:16:27.83;0.00:09:47:869;-0.11;0.37;0.92;0.1242;-0.01321;0.04519;0.113;53.15;33.69;98.62;91.04;37.92;0.1242;0.1224;0.001713;-9.060;-9.121;-27.664;0.45;68.21;
2023-05-30 10:16:27.91;0.00:09:47:949;-0.11;0.37;0.92;0.1242;-0.01324;0.04518;0.113;53.17;33.69;98.60;91.02;37.92;0.1242;0.1224;0.001732;-9.060;-9.121;-27.613;0.45;68.21;
2023-05-30 10:16:27.99;0.00:09:48:026;-0.11;0.37;0.92;0.1241;-0.01322;0.04521;0.113;53.15;33.69;98.62;91.03;37.94;0.1241;0.1224;0.001711;-9.061;-9.121;-27.668;0.45;68.20;
2023-05-30 10:16:28.07;0.00:09:48:105;-0.11;0.37;0.92;0.1241;-0.01325;0.04519;0.113;53.17;33.69;98.60;91.01;37.93;0.1241;0.1224;0.001738;-9.061;-9.122;-27.600;0.45;68.20;
2023-05-30 10:16:28.15;0.00:09:48:183;-0.11;0.37;0.92;0.1241;-0.01323;0.0452;0.113;53.16;33.68;98.61;91.02;37.94;0.1241;0.1224;0.001727;-9.062;-9.122;-27.626;0.45;68.19;
2023-05-30 10:16:28.23;0.00:09:48:261;-0.11;0.37;0.92;0.1241;-0.01323;0.04519;0.1129;53.16;33.68;98.60;91.01;37.94;0.1241;0.1224;0.001736;-9.062;-9.123;-27.604;0.45;68.19;
2023-05-30 10:16:28.30;0.00:09:48:340;-0.11;0.37;0.92;0.1241;-0.01324;0.04519;0.1129;53.17;33.68;98.59;91.00;37.95;0.1241;0.1223;0.001749;-9.063;-9.124;-27.572;0.45;68.19;
2023-05-30 10:16:28.38;0.00:09:48:419;-0.11;0.37;0.92;0.1241;-0.01324;0.04518;0.1129;53.17;33.68;98.58;90.99;37.94;0.1241;0.1223;0.00176;-9.063;-9.125;-27.544;0.45;68.19;
2023-05-30 10:16:28.48;0.00:09:48:512;-0.11;0.37;0.92;0.1241;-0.01324;0.04517;0.1129;53.17;33.68;98.58;90.99;37.94;0.1241;0.1223;0.001762;-9.064;-9.126;-27.540;0.45;68.19;
