Device : ;PAX1000VIS/M
Serial Number : ;M00496686
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;635
Basic Sample Rate [Hz] : ;50
Operating Mode : ;2 revolutions for one measurement, 2048 points for FFT

Time[date hh:mm:ss]; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-30 10:15:29.58;0.00:08:49:611;0.07;0.06;1.00;0.1232;0.009;0.007617;0.1195;20.12;42.18;97.46;96.99;9.57;0.1232;0.1201;0.003124;-9.095;-9.206;-25.054;0.54;86.35;
2023-05-30 10:15:29.67;0.00:08:49:702;0.07;0.06;1.00;0.1232;0.008997;0.007599;0.1195;20.09;42.19;97.47;97.00;9.56;0.1232;0.12;0.003122;-9.095;-9.206;-25.056;0.54;86.36;
2023-05-30 10:15:29.74;0.00:08:49:780;0.07;0.06;1.00;0.1231;0.009;0.00761;0.1194;20.11;42.18;97.46;96.99;9.57;0.1231;0.12;0.003124;-9.096;-9.208;-25.052;0.54;86.35;
2023-05-30 10:15:29.82;0.00:08:49:857;0.07;0.06;1.00;0.1231;0.008973;0.007623;0.1194;20.17;42.18;97.45;96.98;9.56;0.1231;0.12;0.003134;-9.096;-9.208;-25.039;0.54;86.35;
2023-05-30 10:15:29.90;0.00:08:49:936;0.07;0.06;1.00;0.1231;0.008951;0.0076;0.1194;20.17;42.19;97.43;96.97;9.54;0.1231;0.12;0.003161;-9.096;-9.209;-25.002;0.54;86.36;
2023-05-30 10:15:29.99;0.00:08:50:028;0.07;0.06;1.00;0.1231;0.008984;0.007618;0.1194;20.15;42.18;97.44;96.97;9.57;0.1231;0.12;0.003146;-9.096;-9.209;-25.022;0.54;86.35;
2023-05-30 10:15:30.07;0.00:08:50:107;0.07;0.06;1.00;0.1231;0.008996;0.007607;0.1194;20.11;42.18;97.45;96.98;9.57;0.1231;0.12;0.003139;-9.097;-9.209;-25.033;0.54;86.35;
2023-05-30 10:15:30.15;0.00:08:50:185;0.07;0.06;1.00;0.1231;0.008976;0.007602;0.1194;20.13;42.19;97.44;96.97;9.55;0.1231;0.12;0.00315;-9.096;-9.209;-25.017;0.54;86.36;
2023-05-30 10:15:30.23;0.00:08:50:261;0.07;0.06;1.00;0.1232;0.008958;0.007619;0.1194;20.19;42.19;97.43;96.97;9.55;0.1232;0.12;0.00316;-9.095;-9.208;-25.003;0.54;86.35;
2023-05-30 10:15:30.31;0.00:08:50:341;0.07;0.06;1.00;0.1232;0.008961;0.0076;0.1195;20.15;42.19;97.43;96.96;9.54;0.1232;0.12;0.003164;-9.094;-9.207;-24.998;0.54;86.36;
2023-05-30 10:15:30.40;0.00:08:50:432;0.07;0.06;1.00;0.1233;0.008937;0.007606;0.1195;20.20;42.20;97.42;96.96;9.52;0.1233;0.1201;0.003175;-9.090;-9.204;-24.982;0.54;86.36;
2023-05-30 10:15:30.48;0.00:08:50:511;0.08;0.06;1.00;0.1235;0.009109;0.00761;0.12;19.94;42.18;97.66;97.19;9.61;0.1235;0.1206;0.002889;-9.084;-9.187;-25.393;0.54;86.37;
2023-05-30 10:15:30.55;0.00:08:50:589;0.08;0.06;1.00;0.1237;0.009192;0.007369;0.1207;19.36;42.21;98.07;97.60;9.53;0.1237;0.1213;0.002391;-9.077;-9.162;-26.215;0.54;86.51;
2023-05-30 10:15:30.63;0.00:08:50:668;0.08;0.06;1.00;0.1237;0.009207;0.007372;0.1207;19.34;42.21;98.04;97.58;9.53;0.1237;0.1213;0.002418;-9.076;-9.162;-26.165;0.54;86.51;
2023-05-30 10:15:30.71;0.00:08:50:745;0.08;0.06;1.00;0.1237;0.009197;0.007377;0.1207;19.37;42.21;98.02;97.56;9.53;0.1237;0.1213;0.002446;-9.075;-9.162;-26.116;0.54;86.50;
2023-05-30 10:15:30.79;0.00:08:50:824;0.08;0.06;1.00;0.1238;0.009176;0.00741;0.1207;19.46;42.21;98.00;97.54;9.53;0.1238;0.1213;0.002475;-9.074;-9.162;-26.063;0.54;86.49;
2023-05-30 10:15:30.87;0.00:08:50:903;0.08;0.06;1.00;0.1238;0.009188;0.007393;0.1207;19.41;42.21;98.00;97.53;9.53;0.1238;0.1213;0.002478;-9.074;-9.162;-26.059;0.54;86.50;
2023-05-30 10:15:30.96;0.00:08:50:996;0.08;0.06;1.00;0.1238;0.009192;0.00742;0.1207;19.45;42.20;97.99;97.53;9.55;0.1238;0.1213;0.002486;-9.074;-9.163;-26.046;0.54;86.48;
2023-05-30 10:15:31.04;0.00:08:51:072;0.08;0.06;1.00;0.1237;0.009212;0.007404;0.1207;19.39;42.20;97.99;97.53;9.55;0.1237;0.1213;0.002481;-9.075;-9.163;-26.054;0.54;86.49;
2023-05-30 10:15:31.12;0.00:08:51:151;0.08;0.06;1.00;0.1237;0.0092;0.007421;0.1207;19.45;42.20;97.99;97.52;9.55;0.1237;0.1212;0.002489;-9.075;-9.163;-26.040;0.54;86.48;
2023-05-30 10:15:31.20;0.00:08:51:231;0.08;0.06;1.00;0.1237;0.009188;0.007392;0.1206;19.41;42.21;97.96;97.49;9.53;0.1237;0.1212;0.002529;-9.075;-9.165;-25.970;0.54;86.49;
2023-05-30 10:15:31.27;0.00:08:51:308;0.08;0.06;1.00;0.1237;0.009186;0.007418;0.1206;19.46;42.20;97.94;97.48;9.55;0.1237;0.1212;0.002544;-9.076;-9.166;-25.945;0.54;86.48;
