Device : ;PAX1000VIS/M
Serial Number : ;M00496686
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;635
Basic Sample Rate [Hz] : ;50
Operating Mode : ;2 revolutions for one measurement, 2048 points for FFT

Time[date hh:mm:ss]; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-05-30 10:17:31.91;0.00:10:51:944;-0.39;0.56;0.73;0.1242;-0.04842;0.06976;0.08967;62.38;23.28;99.44;72.20;68.37;0.1242;0.1235;0.0006954;-9.059;-9.084;-31.578;0.30;52.12;
2023-05-30 10:17:31.99;0.00:10:52:021;-0.39;0.57;0.73;0.1242;-0.0484;0.06979;0.08968;62.37;23.28;99.45;72.21;68.38;0.1242;0.1235;0.0006773;-9.059;-9.083;-31.692;0.30;52.11;
2023-05-30 10:17:32.06;0.00:10:52:099;-0.39;0.56;0.73;0.1242;-0.04842;0.06978;0.0897;62.38;23.28;99.45;72.21;68.38;0.1242;0.1235;0.0006874;-9.058;-9.082;-31.628;0.30;52.12;
2023-05-30 10:17:32.14;0.00:10:52:179;-0.39;0.56;0.73;0.1242;-0.04845;0.06977;0.08972;62.39;23.28;99.44;72.21;68.37;0.1242;0.1236;0.0006947;-9.057;-9.081;-31.582;0.30;52.13;
2023-05-30 10:17:32.23;0.00:10:52:270;-0.39;0.56;0.73;0.1242;-0.04844;0.06979;0.08973;62.38;23.28;99.45;72.22;68.37;0.1242;0.1236;0.0006798;-9.057;-9.081;-31.676;0.30;52.13;
2023-05-30 10:17:32.31;0.00:10:52:346;-0.39;0.56;0.73;0.1243;-0.04847;0.06981;0.08976;62.39;23.28;99.46;72.22;68.38;0.1243;0.1236;0.0006753;-9.056;-9.080;-31.705;0.30;52.13;
2023-05-30 10:17:32.39;0.00:10:52:424;-0.39;0.56;0.73;0.1243;-0.04847;0.0698;0.08978;62.39;23.29;99.46;72.23;68.37;0.1243;0.1236;0.000676;-9.056;-9.079;-31.701;0.30;52.14;
2023-05-30 10:17:32.47;0.00:10:52:504;-0.39;0.56;0.73;0.1243;-0.04846;0.06981;0.0898;62.38;23.29;99.47;72.24;68.37;0.1243;0.1236;0.0006635;-9.055;-9.079;-31.782;0.30;52.14;
2023-05-30 10:17:32.56;0.00:10:52:595;-0.39;0.56;0.73;0.1243;-0.04849;0.0698;0.08982;62.40;23.29;99.46;72.24;68.36;0.1243;0.1237;0.0006725;-9.054;-9.078;-31.723;0.30;52.15;
2023-05-30 10:17:32.63;0.00:10:52:670;-0.39;0.56;0.73;0.1243;-0.04848;0.06981;0.08982;62.39;23.29;99.47;72.25;68.37;0.1243;0.1237;0.0006633;-9.054;-9.078;-31.783;0.30;52.14;
2023-05-30 10:17:32.71;0.00:10:52:748;-0.39;0.56;0.73;0.1243;-0.0485;0.06979;0.08981;62.40;23.29;99.45;72.24;68.35;0.1243;0.1236;0.000686;-9.054;-9.078;-31.637;0.30;52.15;
2023-05-30 10:17:32.81;0.00:10:52:842;-0.39;0.56;0.73;0.1243;-0.04848;0.06979;0.08982;62.39;23.29;99.46;72.25;68.35;0.1243;0.1236;0.0006773;-9.055;-9.078;-31.692;0.30;52.15;
2023-05-30 10:17:32.88;0.00:10:52:918;-0.39;0.56;0.73;0.1243;-0.0485;0.06981;0.08983;62.40;23.29;99.46;72.25;68.36;0.1243;0.1237;0.0006667;-9.054;-9.077;-31.761;0.30;52.15;
2023-05-30 10:17:32.96;0.00:10:52:996;-0.39;0.56;0.73;0.1243;-0.04849;0.06981;0.08982;62.39;23.29;99.47;72.25;68.37;0.1243;0.1237;0.0006587;-9.054;-9.077;-31.813;0.30;52.14;
2023-05-30 10:17:33.05;0.00:10:53:085;-0.39;0.56;0.73;0.1243;-0.04848;0.0698;0.08982;62.39;23.29;99.46;72.25;68.36;0.1243;0.1237;0.0006694;-9.055;-9.078;-31.743;0.30;52.15;
2023-05-30 10:17:33.12;0.00:10:53:154;-0.39;0.56;0.73;0.1243;-0.04848;0.06983;0.08981;62.38;23.29;99.47;72.24;68.38;0.1243;0.1237;0.0006591;-9.055;-9.078;-31.811;0.30;52.13;
2023-05-30 10:17:33.20;0.00:10:53:240;-0.39;0.56;0.73;0.1243;-0.04849;0.06983;0.08983;62.39;23.29;99.48;72.25;68.38;0.1243;0.1237;0.0006511;-9.054;-9.077;-31.864;0.30;52.14;
2023-05-30 10:17:33.28;0.00:10:53:316;-0.39;0.56;0.73;0.1243;-0.04848;0.06982;0.08981;62.39;23.29;99.47;72.24;68.37;0.1243;0.1237;0.0006597;-9.055;-9.078;-31.807;0.30;52.14;
2023-05-30 10:17:33.36;0.00:10:53:397;-0.39;0.56;0.73;0.1243;-0.0485;0.06982;0.0898;62.39;23.29;99.46;72.23;68.37;0.1243;0.1237;0.0006727;-9.054;-9.078;-31.722;0.30;52.14;
2023-05-30 10:17:33.45;0.00:10:53:481;-0.39;0.56;0.73;0.1243;-0.04848;0.06983;0.08979;62.39;23.28;99.47;72.23;68.38;0.1243;0.1237;0.0006638;-9.055;-9.078;-31.780;0.30;52.13;
2023-05-30 10:17:33.52;0.00:10:53:560;-0.39;0.56;0.73;0.1243;-0.04849;0.0698;0.0898;62.39;23.29;99.46;72.24;68.37;0.1243;0.1236;0.0006692;-9.055;-9.078;-31.744;0.30;52.14;
2023-05-30 10:17:33.61;0.00:10:53:641;-0.39;0.56;0.73;0.1243;-0.04848;0.06981;0.08979;62.39;23.29;99.45;72.23;68.37;0.1243;0.1236;0.0006786;-9.055;-9.079;-31.684;0.30;52.14;
2023-05-30 10:17:33.69;0.00:10:53:725;-0.39;0.56;0.73;0.1243;-0.04848;0.06981;0.0898;62.39;23.29;99.46;72.24;68.37;0.1243;0.1236;0.0006732;-9.055;-9.078;-31.719;0.30;52.14;
2023-05-30 10:17:33.77;0.00:10:53:804;-0.39;0.56;0.73;0.1243;-0.04848;0.06981;0.08979;62.39;23.29;99.46;72.23;68.37;0.1243;0.1236;0.0006684;-9.055;-9.078;-31.750;0.30;52.13;
2023-05-30 10:17:33.85;0.00:10:53:887;-0.39;0.56;0.73;0.1243;-0.04848;0.0698;0.08979;62.39;23.29;99.45;72.23;68.36;0.1243;0.1236;0.0006795;-9.055;-9.079;-31.678;0.30;52.14;
2023-05-30 10:17:33.93;0.00:10:53:966;-0.39;0.56;0.73;0.1242;-0.04844;0.0698;0.08974;62.38;23.28;99.46;72.22;68.38;0.1242;0.1236;0.0006741;-9.057;-9.081;-31.713;0.30;52.12;
2023-05-30 10:17:34.01;0.00:10:54:048;-0.39;0.56;0.73;0.1242;-0.04844;0.06977;0.0897;62.38;23.28;99.44;72.21;68.37;0.1242;0.1235;0.0006907;-9.058;-9.082;-31.607;0.30;52.12;
2023-05-30 10:17:34.10;0.00:10:54:136;-0.39;0.57;0.73;0.1242;-0.04841;0.06979;0.08969;62.37;23.28;99.46;72.21;68.39;0.1242;0.1235;0.0006737;-9.059;-9.082;-31.716;0.30;52.11;
2023-05-30 10:17:34.17;0.00:10:54:210;-0.39;0.56;0.73;0.1242;-0.04842;0.06976;0.08966;62.38;23.28;99.44;72.20;68.38;0.1242;0.1235;0.0006969;-9.059;-9.084;-31.568;0.30;52.12;
2023-05-30 10:17:34.26;0.00:10:54:298;-0.39;0.56;0.73;0.1242;-0.04843;0.06979;0.08967;62.38;23.28;99.45;72.20;68.39;0.1242;0.1235;0.0006846;-9.059;-9.083;-31.645;0.30;52.11;
2023-05-30 10:17:34.34;0.00:10:54:374;-0.39;0.56;0.73;0.1242;-0.04842;0.06973;0.08967;62.39;23.28;99.43;72.20;68.36;0.1242;0.1235;0.0007105;-9.059;-9.084;-31.484;0.30;52.13;
2023-05-30 10:17:34.42;0.00:10:54:458;-0.39;0.56;0.73;0.1242;-0.04842;0.06978;0.08968;62.38;23.28;99.45;72.20;68.39;0.1242;0.1235;0.0006827;-9.059;-9.083;-31.658;0.30;52.11;
2023-05-30 10:17:34.51;0.00:10:54:542;-0.39;0.56;0.73;0.1242;-0.04841;0.06977;0.08967;62.38;23.28;99.45;72.21;68.38;0.1242;0.1235;0.0006841;-9.059;-9.083;-31.649;0.30;52.11;
2023-05-30 10:17:34.58;0.00:10:54:616;-0.39;0.56;0.73;0.1242;-0.0484;0.06977;0.08968;62.37;23.28;99.45;72.21;68.38;0.1242;0.1235;0.0006828;-9.059;-9.083;-31.657;0.30;52.12;
2023-05-30 10:17:34.66;0.00:10:54:698;-0.39;0.56;0.73;0.1242;-0.04844;0.06976;0.08968;62.39;23.28;99.43;72.20;68.37;0.1242;0.1235;0.000704;-9.058;-9.083;-31.524;0.30;52.12;
2023-05-30 10:17:34.75;0.00:10:54:784;-0.39;0.56;0.73;0.1242;-0.04841;0.06976;0.08967;62.38;23.28;99.44;72.20;68.38;0.1242;0.1235;0.0006926;-9.059;-9.084;-31.595;0.30;52.12;
2023-05-30 10:17:34.84;0.00:10:54:874;-0.39;0.57;0.73;0.1242;-0.04841;0.06979;0.08968;62.37;23.28;99.45;72.21;68.38;0.1242;0.1235;0.0006834;-9.059;-9.083;-31.653;0.30;52.11;
2023-05-30 10:17:34.92;0.00:10:54:953;-0.39;0.56;0.73;0.1242;-0.04843;0.06978;0.08968;62.38;23.28;99.45;72.20;68.38;0.1242;0.1235;0.0006885;-9.059;-9.083;-31.621;0.30;52.11;
2023-05-30 10:17:35.00;0.00:10:55:032;-0.39;0.56;0.73;0.1242;-0.04842;0.06975;0.08967;62.38;23.28;99.43;72.20;68.37;0.1242;0.1235;0.0007046;-9.059;-9.083;-31.521;0.30;52.12;
2023-05-30 10:17:35.07;0.00:10:55:110;-0.39;0.56;0.73;0.1242;-0.04843;0.06977;0.08967;62.38;23.28;99.44;72.19;68.38;0.1242;0.1235;0.0007009;-9.059;-9.083;-31.543;0.30;52.12;
2023-05-30 10:17:35.15;0.00:10:55:188;-0.39;0.56;0.73;0.1242;-0.04843;0.06976;0.08967;62.38;23.28;99.44;72.20;68.37;0.1242;0.1235;0.0007012;-9.059;-9.083;-31.541;0.30;52.12;
2023-05-30 10:17:35.24;0.00:10:55:279;-0.39;0.56;0.73;0.1242;-0.04842;0.06976;0.08967;62.38;23.28;99.43;72.20;68.37;0.1242;0.1235;0.0007019;-9.059;-9.083;-31.537;0.30;52.12;
